Pergunta,Resp1,Pts1,Resp2,Pts2,Resp3,Pts3,Tema,Uso
O que faz com pilhas e baterias usadas?,Lixo reciclável comum,5,Posto de coleta específico,10,Lixo orgânico ou comum,0,Resíduos,2
Como descarta embalagens de delivery?,Jogo tudo no lixo comum,0,Limpo e separo para reciclagem,10,Separo mesmo sujas,0,Resíduos,2
O que faz com restos de poda e folhas?,Uso como cobertura ou compostagem,10,Queimo no fundo do quintal,0,Coloco em sacos para coleta,0,Resíduos,2
O que faz com papel de bala na rua?,Jogo no bueiro mais próximo,5,Guardo no bolso até achar lixeira,10,Jogo no chão,0,Resíduos,2
Como descarta medicamentos vencidos?,Guardo por tempo indeterminado,5,Vaso sanitário ou lixo comum,0,Entrego em farmácias ou postos,0,Resíduos,2
O que faz com latas de alumínio?,Amasso e separo para o coletor,10,Jogo no lixo comum,0,Coloco no reciclável sem amassar,0,Resíduos,2
Como descarta vidro quebrado?,Envolvo em papelão e sinalizo,10,Jogo direto no saco de lixo,0,Jogo no lixo reciclável solto,0,Resíduos,2
Qual sua atitude com plásticos de uso único?,Uso apenas quando necessário,5,Recuso sempre,10,Uso sem restrições,0,Resíduos,2
O que faz com roupas velhas sem uso?,Deixo guardadas sem uso,5,Jogo no lixo comum,0,Doou ou transformo em panos,0,Resíduos,2
Onde joga papel toalha usado?,Tento reciclar,5,Lixo comum (não reciclável),10,Jogo no chão ou rua,0,Resíduos,2
Como lava a louça?,Ensabôo tudo com torneira fechada,10,Abro a torneira pela metade,5,Torneira aberta o tempo todo,0,Água,1
Como usa a descarga do banheiro?,Seguro o botão mais que o necessário,5,Uso como lixeira,0,Uso apenas o tempo necessário,0,Água,2
O que faz com vazamento leve na torneira?,Conserto imediatamente,10,Deixo pingar,0,Coloco um balde embaixo,0,Água,2
Como lava o carro?,Uso lavadora de alta pressão,5,Uso balde e pano,10,Uso mangueira aberta,0,Água,2
O que faz com a água de chuva?,Acho a ideia boa mas não faço,5,Deixo escorrer para a rua,0,Capto para aguar plantas ou chão,0,Água,2
Como são seus banhos em dias frios?,Demoro um pouco mais que no calor,5,Mantenho o tempo reduzido,10,Fico o tempo necessário para aquecer,0,Água,2
Como escova os dentes?,Abro e fecho várias vezes,5,Deixo aberta enquanto escovo,0,Uso um copo ou fecho a torneira,0,Água,1
Como limpa a calçada?,Uso vassoura,10,Uso mangueira,0,Uso água de reuso,0,Água,2
